doc_id	tithe_pid	tithe-id	prop_type	global_prop_id	location	rent_mod_valued	tithe_assessment	tithe_paid	tithe_notes
361	10210	668			Hounsditch Precinct	6
361	10211	669			Hounsditch Precinct	6
361	10212	670			Hounsditch Precinct	2
361	10213	671			Hounsditch Precinct	2
361	10214	672			Hounsditch Precinct	2
361	10215	673			Hounsditch Precinct	4
361	10216	674			Hounsditch Precinct	4
361	10217	675			Hounsditch Precinct	5
361	10218	676			Hounsditch Precinct	6
361	10219	677			Hounsditch Precinct	3
361	10220	678			Hounsditch Precinct	10
361	10221	679			Hounsditch Precinct	4
361	10222	680			Hounsditch Precinct	1
361	10223	681			Hounsditch Precinct	5
361	10224	682			Hounsditch Precinct	5
361	10225	683			Hounsditch Precinct	6
361	10226	684			Hounsditch Precinct	6
361	10227	685			Hounsditch Precinct	3
361	10228	686			Hounsditch Precinct	2
361	10229	687			Hounsditch Precinct	3
361	10230	688			Hounsditch Precinct	5
361	10231	689			Hounsditch Precinct	2
361	10232	690			Hounsditch Precinct	8
361	10233	691			Hounsditch Precinct	6
361	10234	692			Hounsditch Precinct	6
361	10235	693			Hounsditch Precinct	6
361	10236	694			Hounsditch Precinct	5
361	10237	695			Hounsditch Precinct	2
361	10238	696			Hounsditch Precinct	8
361	10239	697			Hounsditch Precinct	3
361	10240	698			Hounsditch Precinct	2
361	10241	699			Hounsditch Precinct	5
361	10242	700			Hounsditch Precinct	1
361	10243	701			Hounsditch Precinct	2
361	10244	702			Hounsditch Precinct	3
361	10245	703			Hounsditch Precinct	1
361	10246	704			Hounsditch Precinct	1
361	10247	705			Hounsditch Precinct	2
361	10248	706			Hounsditch Precinct	8
361	10249	707			Hounsditch Precinct	8
361	10250	708			Hounsditch Precinct	8
361	10251	709			Hounsditch Precinct	6
361	10252	710			Hounsditch Precinct	6
361	10253	711			Hounsditch Precinct	6
361	10254	712			Hounsditch Precinct	6
361	10255	713			Hounsditch Precinct	5
361	10256	714			Hounsditch Precinct	2
361	10257	715			Hounsditch Precinct	5
361	10258	716			Hounsditch Precinct	4
361	10259	717			Hounsditch Precinct	4
361	10260	718			Hounsditch Precinct	2
361	10261	719			Hounsditch Precinct	1
361	10262	720			Hounsditch Precinct	3
361	10263	721			Hounsditch Precinct	20
361	10264	722			Hounsditch Precinct	4
361	10265	723			Hounsditch Precinct	4
361	10266	724			Hounsditch Precinct	4
361	10267	725			Hounsditch Precinct	2
361	10268	726			Hounsditch Precinct	2
361	10269	727			Hounsditch Precinct	4
361	10270	728			Hounsditch Precinct	8
361	10271	729			Hounsditch Precinct	1
361	10272	730			Hounsditch Precinct	3
361	10273	731			Hounsditch Precinct	1
361	10274	732			Hounsditch Precinct	10
361	10275	733			Hounsditch Precinct	3
361	10276	734			Hounsditch Precinct	3
361	10277	735			Hounsditch Precinct	3
361	10278	736			Hounsditch Precinct	3
361	10279	737			Hounsditch Precinct	3
361	10280	738			Hounsditch Precinct	3
361	10281	739			Hounsditch Precinct	3
361	10282	740			Hounsditch Precinct	2
361	10283	741			Hounsditch Precinct	3
361	10284	742			Hounsditch Precinct	3
361	10285	743			Hounsditch Precinct	3
361	10286	744			Hounsditch Precinct	3
361	10287	745			Hounsditch Precinct	2
361	10288	746			Hounsditch Precinct	2
361	10289	747			Hounsditch Precinct	2
361	10290	748			Hounsditch Precinct	2
361	10291	749			Hounsditch Precinct	8
361	10292	750			Hounsditch Precinct	3
361	10293	751			Hounsditch Precinct	4
361	10294	752			Hounsditch Precinct	2
361	10295	753			Hounsditch Precinct	3
361	10296	754			Hounsditch Precinct	3
