par_list_id	doc_id	pid	global_prop_id	assessement	week_assess	notes
852	549	56363		3s 		
853	549	56364		1s 6d		
854	549	56365		1s 		
855	549	56366		1s 		
856	549	56367		1s 		
857	549	56368		1s 		
858	549	56369		1s 		
859	549	56370		1s 		
860	549	56371		9d		
861	549	56372		1s 6d		
862	549	56373		2s 3d		2 houses
863	549	56374		1s 6d		
864	549	56375		3s 		
865	549	56376		1s 2d		
866	549	56377		g1s 6d		listed jointly with pid56402
867	549	56378		9d		
868	549	56379		1s 		
869	549	56380		1s 2d		
870	549	56381		9d		
871	549	56382		1s 4d		
872	549	56383		1s 2d		
873	549	56384		9d		
874	549	56385		1s 		
875	549	56386		1s 8d		
876	549	56387		1s 8d		
877	549	56388		1s 8d		
878	549	56389		1s 8d		
879	549	56390		2s 		
880	549	56391		9d		
881	549	56392		1s 		
882	549	56393		1s 6d		
883	549	56394		8d		
884	549	56395		8d		
885	549	56396		8d		
886	549	56397		8d		
887	549	56398		2s 3d		
888	549	56399		9d		
889	549	56400		8d		
890	549	56401		1s 		
891	549	56402		g1s 6d		listed jointly with pid56377
892	550	56403		17s 4d		
893	550	56404		13s 		
894	550	56405		8s 8d		
895	550	56406		13s 		
896	550	56407		4s 4d		
897	550	56408		17s 4d		
898	550	56409		£5 4s 		Mercers Hall
899	550	56410		17s 4d		Widdow 
900	550	56411		g13s		listed jointly with pid56445
901	550	56412		8s 8d		
902	550	56413		4s 4d		
903	550	56414		1s 6d		
904	550	56415		13s 		
905	550	56416		8s 8d		
906	550	56417		17s 4d		
907	550	56418		4s 4d		
908	550	56419		4s 4d		
909	550	56420		4s 4d		
910	550	56421		4s 4d		
911	550	56422		8s 8d		
912	550	56423		8s 8d		& comn?
913	550	56424		8s 8d		
914	550	56425		8s 8d		
915	550	56426		13s 		
916	550	56427		8s 8d		Widd 
917	550	56428		8s 8d		
918	550	56429		17s 4d		
919	550	56430		4s 4d		sic Pitchford
920	550	56431		8s 8d		
921	550	56432		4s 4d		
922	550	56433		8s 8d		
923	550	56434		8s 8d		
924	550	56435		£1 1s 8d		
925	550	56436		g8s 8d		listed jointly with pid56446
926	550	56437		8s 8d		
927	550	56438		8s 8d		
928	550	56439		8s 8d		
929	550	56440		4s 4d		
930	550	56441		8s 8d		
931	550	56442		£1 1s 8d		
932	550	56443		13s 		listed jointly with pid56447
933	550	56444		8s 8d		
934	550	56445		g13s		listed jointly with pid56411
935	550	56446		g8s 8d		listed jointly with pid56436
936	550	56447		g13s		listed jointly with pid56443
937	551	56448		13s 		
938	551	56449		8s 8		
939	551	56450		8s 8		
940	551	56451		13s 		
941	551	56452		4s 4d		
942	551	56453		13s 		
943	551	56454		£5 4s		
944	551	56455		17s 4d		
945	551	56456		g13s 		listed jointly with pid56494
946	551	56457		8s 8d		
947	551	56458		4s 4d		
948	551	56459		4s 4d		
949	551	56460		 		no values
950	551	56461		 		no values
951	551	56462		£1 6s 		
952	551	56463		13s 		
953	551	56464		8s 8d		
954	551	56465		17s 4d		
955	551	56466		4s 4d		
956	551	56467		4s 4d		
957	551	56468		4s 4d		
958	551	56469		4s 4d		
959	551	56470		8s 8d		
960	551	56471		g8s 8d 		listed jointly with pid56495
961	551	56472		8s 8d		
