INVID	PROID	InvValue	No of rooms	£InvValue	Crops	£Crops	Animals	£Animals	Money	£Money	Debts	£Debts	Leases	£Leases	Shop goods/Tools	£Shopgoods	Clothes	£Clothes	Household goods	£Household	Hearths	Notes
263	664.00	38.65		£38 13s 0d	0.00	0	0.00	0	23.00	£23 0s 0d	0.00	0		£8 0s 0d	0.00	0	2.00	£2 0s 0d	13.65	£13 13s 0d		
264	665.00	397.00		£397  0s 0d	60.00	£60 0s 0d	40.00	£40 0s 0d	200.00	£200 0s 0d	200.00	£200 0s 0d		0	10.00	£10 0s 0d	5.00	£5 0s 0d	80.00	£80 0s 0d		
266	265.00	57.48		£57  9s 8d	0.00	0	0.00	0	57.42	£57 8s 6d	57.42	£57 8s 6d		0	0.00	0	0.00	0	0.05	£0 1s 2d		all in debts some desparate
268	667.00	129.96		£126 19s 2d	0.00	0	0.00	0	68.26	£68 5s 4d	68.26	£68 5s 4d		0	42.05	£42 1s 0d	0.00	0	16.64	£16 12s 10d		
270	669.00	90.00		£90  0s 0d	0.00	0	0.00	0	50.00	£50 0s 0d	0.00	0		0	0.00	0	10.00	£10 0s 0d	30.00	£30 0s 0d		
274	670.00	140.20	13.00	£140  4s 0d	2.00	£2 0s 0d	3.00	£3 0s 0d	60.00	£60 0s 0d	10.00	£10 0s 0d		£20 0s 0d	16.55	£16 11s 0d	5.00	£5 0s 0d	69.20	£69 4s 0d	1.00	
275	671.00	110.50		£110 10s 0d	0.00	0	0.00	0	58.00	£58 0s 0d	50.00	£50 0s 0d		0	0.00	0	4.00	£4 0s 0d	48.50	£48 10s 0d		
276	672.00	19.57	2.00	£19 11s 6d	0.00	0	0.00	0	13.33	£13 6s 8d	0.00	0		£13 6s 8d	0.00	0	3.00	£3 0s 0d	3.24	£3 4s 10d		
277	276.00	27.55	7.00	£27 11s 0d	0.00	0	0.00	0	0.00	0	0.00	0		0	2.15	£2 3s 0d	0.00	0	25.40	£25 8s 0d	2.00	
278	673.00	68.37	2.00	£68  7s 6d	0.00	0	0.00	0	50.00	£50 0s 0d	50.00	£50 0s 0d		0	0.00	0	2.00	£2 0s 0d	16.37	£16 7s 6d	1.00	
280	279.00	30.00		£30  0s 0d	0.00	0	0.00	0	30.00	£30 0s 0d	30.00	£30 0s 0d		0	0.00	0	0.00	0	0.00	0		
283	282.00	14.66	2.00	£14 13s 2d	0.00	0	8.00	£8 0s 0d	0.00	0	0.00	0	0.00	0	0.00	0	1.00	£1 0s 0d	5.65	£5 13s 2d	1.00	
284	283.00	237.83		£237 16s 6½d	0.00	0	0.00	0	52.02	£52 0s 5d	6.55	£6 11s 0d		0	146.26	£146 5s 4d	7.00	£7 0s 0d	32.51	£32 10s 4d		
285	676.00	21.12		£21  2s 4d	14.41	£14 8s 4d	0.76	£0 15s 4d	0.00	0	0.00	0	0.00	0	0.00	0	2.00	£2 0s 0d	3.80	£3 16s 2d		
286	677.00	91.50		£91 10s 0d	27.50	£27 10s 0d	33.50	£33 10s 0d	0.00	0	0.00	0		0	3.85	£3 17s 0d	0.00	0	3.50	£3 10s 0d	1.00	
287	678.00	7.32	2.00	£7  6s 4d	2.33	£2 6s 8d	1.50	£1 10s 0d	0.00	0	0.00	0		0	0.00	0	0.50	£0 10s 0d	3.00	£3 0s 0d		
288	679.00	52.54	5.00	£52 10s 10d	24.66	£24 13s 4d	2.00	£2 0s 0d	0.00	0	0.00	0		0	3.83	£3 16s 8d	6.33	£6 6s 8d	15.10	£15 2s 2d	2.00	
292	291.00	203.37	8.00	£203  7s 6d	0.00	0	0.00	0	61.70	£61 14s 0d	51.70	£51 14s 0d		0	30.00	£30 0s 0d	10.00	£10 0s 0d	123.12	£123 2s 6d	2.00	
293	681.00	30.17		£30  3s 4d	9.00	£9 0s 0d	16.00	£16 0s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.50	£0 10s 0d	4.50	£4 10s 0d		
295	683.00	59.25	6.00	£59  5s 0d	0.00	0	1.00	£1 0s 0d	0.00	0	0.00	0	0.00	0	30.00	£30 0s 0d	2.00	£2 0s 0d	25.73	£25 14s 8d	1.00	
296	684.00	44.80	7.00	£44 16s 0d	0.00	0	0.00	0	5.00	£5 0s 0d	5.00	£5 0s 0d		0	17.96	£17 19s 3d	2.00	£2 0s 0d	18.86	£18 17s 6d	2.00	
297	685.00	59.83	3.00	£59 16s 8d	0.00	0	0.00	0	30.00	£30 0s 0d	0.00	0	0.00	0	0.00	0	6.66	£6 13s 4d	22.16	£22 3s 4d		
298	297.00	7.38	2.00	£7  6s 8d	0.00	0	0.00	0	0.50	£0 10s 0d	0.00	0		£0 10s 0d	0.00	0	0.00	0	6.66	£6 13s 4d		
300	686.00	41.05		£41  0s 12d	0.00	0	0.00	0	40.05	£40 1s 0d	0.00	0		£1 0s 0d	0.00	0	1.00	£1 0s 0d	0.00	0		
303	302.00	35.50	10.00	£35 10s 0d	1.50	£1 10s 0d	1.86	£1 17s 4d	10.50	£10 10s 0d	0.00	0		£10 10s 0d	0.00	0	1.08	£1 1s 8d	17.00	£17 0s 0d	1.00	
304	688.00	12.70	1.00	£12 14s 0d	6.00	£6 0s 0d	1.33	£1 6s 8d	0.00	0	0.00	0		0	0.00	0	1.00	£1 0s 0d	4.10	£4 2s 0d	1.00	
305	304.00	38.43	4.00	£38  8s 8d	0.00	0	0.00	0	20.00	20 0s 0d	0.00	0		£20 0s 0d	0.00	0	1.00	£1 0s 0d	17.43	£17 8s 8d	1.00	
