SC	PLDID	P	Doc No	Type	Day	Month	Year	Property	Street	Place	Comment
PLD	63	0	Li.XV/i/c/2	release	28	6	1838.00	tenement formerly called Three Pidgeons		New Thame	 
PLD	64	0	Li.XV/ii/c/2	feoffment	22	10	1616.00	messuage	High St	New Thame	 
PLD	65	0	Li.XV/ii/c/3	feoffment	12	4	1620.00	messuage	High St	New Thame	 
PLD	66	0	Li.XV/ii/c/4	mortgage	13	4	1620.00	½ messuage	High St	New Thame	 
PLD	67	0	Li.XV/ii/c/5	feoffment	31	8	1635.00	messuage	High St	New Thame	 
PLD	68	0	Li.XV/ii/c/6	demise for 1 life	1	4	1636.00	close of meadow called Glasiers 3 acres	North Quarter	New Thame	
PLD	69	0	Li.XV/ii/c/9	receipt	11	2	1671.00	messuage in north quarter	High St	New Thame	receipt for £145 for sale of Li.XV/ii/c/8
PLD	70	0	Li.XV/ii/c/10	quit claim	15	2	1670.00			New Thame	quit claim for passage through property Li.XV/ii/c/9
PLD	71	0	Li.XV/ii/c/11	receipt	28	2	1670.00			New Thame	receipt for £30 payment for LI.XV/ii/c/10
PLD	72	0	Li.XV/ii/c/15	release	1	3	1716.00	messuage	North Quarter	New Thame	 
PLD	73	0	Li.XV/ii/c/16	lease	7	8	1765.00			New Thame	 
PLD	74	0	Li.XVI/i/a/2	deed pole gift	25	5	1738.00	2 messuages		New Thame	 
PLD	75	0	Li.XVI/i/b/2	release	1	11	1694.00	messuage in north quarter	High St	New Thame	 
PLD	76	0	Li.XVI/i/b/3	lease	27	3	1730.00	messuage in north quarter	High St	New Thame	 
PLD	77	0	Li.XVI/i/b/4	release	28	3	1730.00	messuage in north quarter	High St	New Thame	 
PLD	78	0	Li.XVI/i/b/5	lease	21	9	1764.00	messuage in north quarter	High St	New Thame	 
PLD	79	0	Li.XVI/i/b/6	release	22	9	1764.00	messuage in north quarter	High St	New Thame	 
PLD	80	0	Li.XVII/iii/2				0.00			New Thame	 
PLD	81	0	Li.XVII/iii/3				0.00			New Thame	 
PLD	82	0	Li.XVII/iii/4				0.00			New Thame	 
PLD	83	0	Li.XVII/iii/5				0.00			New Thame	 
PLD	84	0	Li.XVII/v/2				0.00			New Thame	 
PLD	85	0	Li.XVII/vi/2				0.00			New Thame	 
PLD	86	0	Li.XVII/vi/3				0.00			New Thame	 
PLD	87	0	Li.XVII/ix/2				0.00			New Thame	 
PLD	88	0	Li.XVII/ix/3				0.00			New Thame	 
PLD	89	0	Li.XVII/ix/4				0.00			New Thame	 
PLD	90	0	Li.XVII/ix/5				0.00			New Thame	 
PLD	91	0	Li.XVII/xi/12				0.00			New Thame	 
PLD	92	0	Li.XVII/iii/8				0.00			New Thame	 
PLD	93	0	Li.XVII/iii/9				0.00			New Thame	 
PLD	94	0	Li.XVII/iii/10				0.00			New Thame	 
PLD	95	0	Li.XVII/iii/11				0.00			New Thame	 
PLD	96	0	Li.XVII/iii/12				0.00			New Thame	 
PLD	97	0	Li.XV/v/a/2	release	19	8	1817.00			Old Thame	 
PLD	98	0	Li.XV/v/a/3	abstract of tithe			1858.00	cottage		New Thame	 
PLD	99	0	Li.XV/v/a/4	conveyance	24	9	1858.00	cottage		New Thame	 
PLD	100	0	Li.XVII/iii/2				0.00			Old Thame	 
PLD	101	0	Li.XVII/iii/3				0.00			Old Thame	 
PLD	102	0	Li.XVII/iii/4				0.00			Old Thame	 
PLD	103	0	Li.XVII/iii/5				0.00			Old Thame	 
PLD	104	0	Li.XVII/iii/8				0.00			Old Thame	 
PLD	105	0	Li.XVII/iii/9				0.00			Old Thame	 
PLD	106	0	Li.XVII/iii/10				0.00			Old Thame	 
PLD	107	0	Li.XVII/iii/11				0.00			Old Thame	 
PLD	108	0	Li.XVII/iii/12				0.00			Old Thame	 
PLD	109	0	Li.XVII/iv/3				0.00			Old Thame	 
PLD	110	0	Li.XVII/iv/4				0.00			Old Thame	 
PLD	111	0	Li.XVII/viii/2				0.00			Old Thame	 
PLD	112	0	Li.XVII/viii/5				0.00			Old Thame	 
PLD	113	0	Li.XVII/xi/19				0.00			Old Thame	 
PLD	114	0	Co.V/i/2	lease	13	5	1630.00	2 messuages and 18acres		Old Thame	
PLD	115	0	Co.V/i/3	marriage settlement	14	3	1644.00	2 messuages and 18acres		Old Thame	
PLD	116	0	Co.V/i/4	marriage settlement	15	3	1643.00	2 messuages and 18acres		Old Thame	
PLD	117	0	Misc.Su.L/i/1	deeds			1738.00	messuage	Friday St	Old Thame	deed to lead uses  of fine and fine of messuage in Friday St
PLD	118	0	Misc.Su.L/i/2	deeds			1738.00	messuage	Morend Lane	Old Thame	milking Plot, 2 gardens,  backside and barn  and messuage in Morend Lane
PLD	119	0	Misc.Su.L/i/3	deeds			1738.00	messuage	Morend Lane	Old Thame	milking Plot, 2 gardens,  backside and barn  and messuage in Morend Lane
PLD	120	0	Welch.C/i/1	deeds			1860.00	cottage at Broken Cross		Old Thame	cottage and garden at Broken Cross
PLD	121	0	Welch.C/ii/2	deeds			1895.00	cottage at Broken Cross		Old Thame	cottage and garden at Broken Cross
PLD	122	0	Welch.C/ii/1	deeds			1861.00	land		Old Thame	piece of land in Old Thame 33 p
PLD	123	0	Welch.C/ii/2	deeds			0.00	land		Old Thame	piece of land in Old Thame 33 p
PLD	124	0	Welch.C/ii/3	deeds			1895.00	land		Old Thame	piece of land in Old Thame 33 p and 48p
PLD	125	0	Welch.C/iii/1	deeds			1895.00	land		Old Thame	piece of land in Old Thame 48 p
PLD	126	0	Welch.LXXIII/iii/1	deeds			1679.00	Blackditch Close		Old Thame	close of arable 8acres in Old Thame called Blackditch Close
PLD	127	0	Li.XIII/v/1				0.00			Thame	
PLD	128	0	Li.XIII/v/3				0.00			Thame	
PLD	129	0	Li.XVIII/v/4				0.00			Thame	
PLD	130	0	Li.XIII/ix/5				0.00			Thame	
PLD	131	0	Li.XIII/ix/7				0.00			Thame	
PLD	132	1	Li.XV/i/a/3	lease	25	8	1785.00	messuage called Chequer Ale House	Hoggherds Hill	Thame	
PLD	133	0	Li.XV/i/a/4	release	26	8	1785.00	messuage called Chequer Ale House	Hoggherds Hill	Thame	
PLD	134	0	Li.XV/i/a/5	release	11	1	1791.00	messuage called Chequer Ale House	Hoggherds Hill	Thame	
PLD	135	0	Li.XV/i/a/6	bond	11	1	1791.00	messuage called Chequer Ale House	Hoggherds Hill	Thame	
PLD	136	0	Li.XV/i/a/7	lease	29	10	1798.00	messuage called Chequer Ale House	Hoggherds Hill	Thame	
PLD	137	0	Li.XV/i/a/8	release	30	10	1798.00	messuage called Chequer Ale House	Hoggherds Hill	Thame	
PLD	138	1	Li.XV/i/b/13	feoffment	14	6	1766.00	tenement or shop		Thame	
PLD	139	0	Li.XV/i/d/1	lease	4	3	1817.00	messuage	High St	New Thame	
