struct_idx	OldPhillimore	NewPhillimore
14832	9W88	"9,88"
14833	9W89	"9,89"
14834	9W90	"9,90"
14835	9W91	"9,91"
14836	9W92	"9,92"
14837	9W93	"9,93"
14838	9W94	"9,94"
14839	9W95	"9,95"
14840	9W96	"9,96"
14841	9W97	"9,97"
14842	9W98	"9,98"
14843	9W99	"9,99"
14844	9W100	"9,100"
14845	9W101	"9,101"
14846	9W102	"9,102"
14847	9W103	"9,103"
14848	9W104	"9,104"
14849	9W105	"9,105"
14850	9W106	"9,106"
14851	9W107	"9,107"
14852	9W108	"9,108"
14853	9W109	"9,109"
14854	9W110	"9,110"
14855	9W111	"9,111"
14856	9W112	"9,112"
14857	9W113	"9,113"
14858	9W114	"9,114"
14859	9W115	"9,115"
14860	9W116	"9,116"
14861	9W117	"9,117"
14862	9W118	"9,118"
14863	9W119	"9,119"
14864	9W120	"9,120"
14865	9W121	"9,121"
14866	9W122	"9,122"
14867	9W123	"9,123"
14868	9W124	"9,124"
14869	9W125	"9,125"
14870	9W126	"9,126"
14871	9W127	"9,127"
14872	9W128	"9,128"
14873	9W129	"9,129"
14874	9W130	"9,130"
14875	9W131	"9,131"
14876	9W132	"9,132"
14877	9W133	"9,133"
14878	9W134	"9,134"
14879	9W135	"9,135"
14880	9W136	"9,136"
14881	9W137	"9,137"
14882	9W138	"9,138"
14883	9W139	"9,139"
14884	9W140	"9,140"
14885	9W141	"9,141"
14886	9W142	"9,142"
14887	9W143	"9,143"
14888	9W144	"9,144"
14889	10	10
14890	10W1	"10,1"
14891	10W2	"10,2"
14892	10W3	"10,3"
14893	10W4	"10,4"
14894	10W5	"10,5"
14895	10W6	"10,6"
14896	10W7	"10,7"
14897	10W8	"10,8"
14898	10W9	"10,9"
14899	10W10	"10,10"
14900	10W11	"10,11"
14901	10W12	"10,12"
14902	10W13	"10,13"
14903	10W14	"10,14"
14904	10W15	"10,15"
14905	10W16	"10,16"
14906	10W17	"10,17"
14907	10W18	"10,18"
14908	10W19	"10,19"
