place_id	struct_idx	county	phillimore	borough_place	holding	units	value
11020	13880	YKS	C12	York	9	messuages	
11040	13881	YKS	C13	York	4	messuages	0.7
11060	13881	YKS	C13	York	1	churches	
11080	13882	YKS	C14	York	3	messuages	
11100	13883	YKS	C15	York	2	messuages	
11120	13883	YKS	C15	York	8	lodgings	
11140	13884	YKS	C16	York	4	messuages	
11160	13884	YKS	C16	York	12	lodgings	
11180	13885	YKS	C17	York	3	messuages	
11200	13885	YKS	C17	York	1	lodgings	
11220	13885	YKS	C17	York	1	churches	
11240	13886	YKS	C18	York	3	messuages	
11260	13886	YKS	C18	York	1	churches	
11280	13887	YKS	C19	York	1	messuages	
11300	13888	YKS	C20	York	10.5	messuages	
11320	13888	YKS	C20	York		value	100
11340	13889	YKS	C21	York	100	houses	
11360	13889	YKS	C21	York	1	court	
11380	13890	YKS	C22	York		-	
11400	13891	YKS	C23	Osbaldwick		-	
11420	13891	YKS	C23	Murton		-	
11440	13891	YKS	C23	York		-	
11460	13892	YKS	C24	Stockton [on the Forest]		-	
11480	13892	YKS	C24	York		-	
