struct_idx	county	phillimore	text_type
746	SUS	"10,44"	E
747	SUS	"10,45"	E
748	SUS	"10,46"	E
749	SUS	"10,47"	E
750	SUS	"10,48"	E
751	SUS	"10,49"	E
752	SUS	"10,50"	E
753	SUS	"10,51"	E
754	SUS	"10,52"	E
755	SUS	"10,53"	E
756	SUS	"10,54"	E
757	SUS	"10,55"	E
758	SUS	"10,56"	E
759	SUS	"10,57"	E
760	SUS	"10,58"	E
761	SUS	"10,59"	E
762	SUS	"10,60"	E
763	SUS	"10,61"	E
764	SUS	"10,62"	E
765	SUS	"10,63"	E
766	SUS	"10,64"	E
767	SUS	"10,65"	E
768	SUS	"10,66"	E
769	SUS	"10,67"	E
770	SUS	"10,68"	E
771	SUS	"10,69"	E
772	SUS	"10,70"	E
773	SUS	"10,71"	E
774	SUS	"10,72"	E
775	SUS	"10,73"	E
776	SUS	"10,74"	E
777	SUS	"10,75"	E
778	SUS	"10,76"	E
779	SUS	"10,77"	E
780	SUS	"10,78"	E
781	SUS	"10,79"	E
782	SUS	"10,80"	E
783	SUS	"10,81"	E
784	SUS	"10,82"	E
785	SUS	"10,83"	E
786	SUS	"10,84"	E
787	SUS	"10,85"	E
788	SUS	"10,86"	E
789	SUS	"10,87"	E
790	SUS	"10,88"	E
791	SUS	"10,89"	E
792	SUS	"10,90"	E
793	SUS	"10,91"	E
794	SUS	"10,92"	E
795	SUS	"10,93"	E
796	SUS	"10,94"	E
797	SUS	"10,95"	E
798	SUS	"10,96"	E
799	SUS	"10,97"	E
800	SUS	"10,98"	E
801	SUS	"10,99"	E
802	SUS	"10,100"	E
803	SUS	"10,101"	E
804	SUS	"10,102"	E
805	SUS	"10,103"	E
806	SUS	"10,104"	E
807	SUS	"10,105"	E
808	SUS	"10,106"	E
809	SUS	"10,107"	E
810	SUS	"10,108"	E
811	SUS	"10,109"	E
812	SUS	"10,110"	E
813	SUS	"10,111"	E
814	SUS	"10,112"	E
815	SUS	"10,113"	E
816	SUS	"10,114"	E
817	SUS	"10,115"	E
818	SUS	"10,116"	E
819	SUS	"10,117"	E
820	SUS	"10,118"	E
822	SUS	"11,1"	E
823	SUS	"11,2"	E
824	SUS	"11,3"	E
825	SUS	"11,4"	E
826	SUS	"11,5"	E
827	SUS	"11,6"	E
828	SUS	"11,7"	E
829	SUS	"11,8"	E
830	SUS	"11,9"	E
831	SUS	"11,10"	E
832	SUS	"11,11"	E
833	SUS	"11,12"	E
834	SUS	"11,13"	E
835	SUS	"11,14"	E
836	SUS	"11,15"	E
837	SUS	"11,16"	E
838	SUS	"11,17"	E
839	SUS	"11,18"	E
840	SUS	"11,19"	E
841	SUS	"11,20"	E
842	SUS	"11,21"	E
843	SUS	"11,22"	E
844	SUS	"11,23"	E
845	SUS	"11,24"	E
846	SUS	"11,25"	E
847	SUS	"11,26"	E
848	SUS	"11,27"	E
849	SUS	"11,28"	E
850	SUS	"11,29"	E
851	SUS	"11,30"	E
852	SUS	"11,31"	E
853	SUS	"11,32"	E
854	SUS	"11,33"	E
855	SUS	"11,34"	E
856	SUS	"11,35"	E
857	SUS	"11,36"	E
858	SUS	"11,37"	E
859	SUS	"11,38"	E
860	SUS	"11,39"	E
861	SUS	"11,40"	E
862	SUS	"11,41"	E
863	SUS	"11,42"	E
864	SUS	"11,43"	E
865	SUS	"11,44"	E
866	SUS	"11,45"	E
867	SUS	"11,46"	E
868	SUS	"11,47"	E
869	SUS	"11,48"	E
870	SUS	"11,49"	E
871	SUS	"11,50"	E
872	SUS	"11,51"	E
873	SUS	"11,52"	E
874	SUS	"11,53"	E
875	SUS	"11,54"	E
876	SUS	"11,55"	E
877	SUS	"11,56"	E
878	SUS	"11,57"	E
879	SUS	"11,58"	E
880	SUS	"11,59"	E
881	SUS	"11,60"	E
882	SUS	"11,61"	E
883	SUS	"11,62"	E
884	SUS	"11,63"	E
885	SUS	"11,64"	E
886	SUS	"11,65"	E
887	SUS	"11,66"	E
888	SUS	"11,67"	E
889	SUS	"11,68"	E
890	SUS	"11,69"	E
891	SUS	"11,70"	E
892	SUS	"11,71"	E
893	SUS	"11,72"	E
894	SUS	"11,73"	E
895	SUS	"11,74"	E
896	SUS	"11,75"	E
897	SUS	"11,76"	E
898	SUS	"11,77"	E
899	SUS	"11,78"	E
900	SUS	"11,79"	E
901	SUS	"11,80"	E
902	SUS	"11,81"	E
903	SUS	"11,82"	E
904	SUS	"11,83"	E
