statistics_id	struct_idx	county	phillimore	tenant_in_chief	riding	wapentake	vill	carucates	g_code	notes	phillimore_ref
2920	17635	YS	"SW,BA9"	Ralph Payenel	West Riding	Barkston	Drax	5.12	geld	"5.125 total from Drax, Airmyn, Camblesforth and Barlow: see 16W1."	16W1
2940	17635	YS	"SW,BA9"	Ralph Payenel	West Riding	Barkston	[Little] Airmyn		recorded elsewhere	"5.125 total from Drax, Airmyn, Camblesforth and Barlow: see 16W1."	16W1
2960	17635	YS	"SW,BA9"	Ralph Payenel	West Riding	Barkston	Camblesforth		recorded elsewhere	"5.125 total from Drax, Airmyn, Camblesforth and Barlow: see 16W1."	16W1
2980	17635	YS	"SW,BA9"	Ralph Payenel	West Riding	Barkston	Barlow		recorded elsewhere	"5.125 total from Drax, Airmyn, Camblesforth and Barlow: see 16W1."	16W1
3000	17636	YS	"SW,BA10"	Ilbert of Lacy	West Riding	Barkston	Fairburn	2.5	geld		9W28
3020	17637	YS	"SW,BA11"	Ilbert of Lacy	West Riding	Barkston	Ledsham	2	geld		9W28
3040	17638	YS	"SW,BA12"	William of Percy	West Riding	Barkston	Tadcaster	8	geld		13W1
3060	17639	YS	"SW,BA13"	Osbern of Arques	West Riding	Barkston	Newton [Kyme]	3	geld	3 carucates with Toulston in the main text.	25W30
3080	17640	YS	"SW,Sf1"	William of Warenne	West Riding	Strafforth	Conisbrough	91.5	geld	"91 carucates, 3 bovates and 15 acres with the outliers: see 12W1 which names the dependencies and their assessments."	12W1
3100	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	Laughton [en le Morthen]	9	equal	54 carucates in all for manor and dependencies: see 10W1.	10W1
3120	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	Throapham	9	equal	10W1 gives the breakdown.	10W1
3140	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	Dinnington	4	geld	10W1 gives the breakdown.	10W1
3160	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	[South] Anston	6	geld	10W1 gives the breakdown.	10W1
3180	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	[North] Anston	10	geld	10W1 gives the breakdown.	10W1
3200	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	Thorpe [Salvin]	6	geld	10W1 gives the breakdown.	10W1
3220	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	Wales	3.5	geld	10W1 gives the breakdown.	10W1
3240	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	[Slade] Hooton	3	geld	10W1 gives the breakdown.	10W1
3260	17641	YS	"SW,Sf2"	Roger of Bully	West Riding	Strafforth	Newhall [Grange]	3.5	geld	10W1 gives the breakdown.	10W1
3280	17642	YS	"SW,Sf3"	Roger of Bully	West Riding	Strafforth	Wadworth	12	geld		10W2
3300	17642	YS	"SW,Sf3"	Roger of Bully	West Riding	Strafforth	Stainton	1.5	geld	2.5 carucates in the main text	10W5
3320	17643	YS	"SW,Sf4"	Roger of Bully	West Riding	Strafforth	Dadsley	8	geld	"8 carucates between Dadsley, Stainton and Hellaby."	10W3
3340	17643	YS	"SW,Sf4"	Roger of Bully	West Riding	Strafforth	Stainton		recorded elsewhere	"8 carucates between Dadsley, Stainton and Hellaby."	10W3
3360	17643	YS	"SW,Sf4"	Roger of Bully	West Riding	Strafforth	Hellaby		recorded elsewhere	"8 carucates between Dadsley, Stainton and Hellaby."	10W3
3380	17643	YS	"SW,Sf4"	Roger of Bully	West Riding	Strafforth	Wickersley	4	geld		10W6
3400	17644	YS	"SW,Sf5"	Roger of Bully	West Riding	Strafforth	Maltby	4.5	geld	4.5 carucates between Malty and Hellaby.	10W4
3420	17644	YS	"SW,Sf5"	Roger of Bully	West Riding	Strafforth	Hellaby		recorded elsewhere	4.5 carucates between Malty and Hellaby.	10W4
3440	17644	YS	"SW,Sf5"	Roger of Bully	West Riding	Strafforth	Brinsworth	1.37	geld		10W7
3460	17645	YS	"SW,Sf6"	William of Percy	West Riding	Strafforth	Brinsworth	3.62	geld		13W6
3500	17645	YS	"SW,Sf6"	Roger of Bully	West Riding	Strafforth	Tinsley	8.25	geld		10W8
3520	17646	YS	"SW,Sf7"	King William	West Riding	Strafforth	Tinsley	0.87	geld	This holding is not apparently recorded in the main text.	-
3560	17646	YS	"SW,Sf7"	Roger of Bully	West Riding	Strafforth	Greasbrough	3	geld		10W10
3580	17646	YS	"SW,Sf7"	Roger of Bully	West Riding	Strafforth	{Grimeshou}	3.5	geld		10W11
3600	17647	YS	"SW,Sf8"	Roger of Bully	West Riding	Strafforth	Mexborough	5	geld		10W13
3620	17647	YS	"SW,Sf8"	Roger of Bully	West Riding	Strafforth	Newhill	6	geld	"6 carucates between Newhill, Hooton (Roberts) and Denaby."	10W12
3640	17647	YS	"SW,Sf8"	Roger of Bully	West Riding	Strafforth	Hooton [Roberts]		recorded elsewhere	"6 carucates between Newhill, Hooton (Roberts) and Denaby."	10W12
3660	17647	YS	"SW,Sf8"	Roger of Bully	West Riding	Strafforth	Denaby		recorded elsewhere	"6 carucates between Newhill, Hooton (Roberts) and Denaby."	10W12
3680	17648	YS	"SW,Sf9"	Roger of Bully	West Riding	Strafforth	Adwick [upon Dearne]	2.5	geld		10W14
3700	17648	YS	"SW,Sf9"	Roger of Bully	West Riding	Strafforth	Barnbrough	6	geld	6 carucates between Barnbrough and Bilham [house].	10W15
3720	17648	YS	"SW,Sf9"	Roger of Bully	West Riding	Strafforth	Bilham [House]		recorded elsewhere	6 carucates between Barnbrough and Bilham [house].	10W15
3740	17649	YS	"SW,Sf10"	Roger of Bully	West Riding	Strafforth	Ecclesfield	4	geld		10W16
3760	17649	YS	"SW,Sf10"	Roger of Bully	West Riding	Strafforth	Wath [upon Dearne]	7.25	geld	"7 carucates and 2 bovates between Wath [upon Dearne], Swinton and Wentworth."	10W17
3780	17649	YS	"SW,Sf10"	Roger of Bully	West Riding	Strafforth	Swinton		recorded elsewhere	"7 carucates and 2 bovates between Wath [upon Dearne], Swinton and Wentworth."	10W17
3800	17649	YS	"SW,Sf10"	Roger of Bully	West Riding	Strafforth	Wentworth		recorded elsewhere	"7 carucates and 2 bovates between Wath [upon Dearne], Swinton and Wentworth."	10W17
