hundred,unique_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,unique_treatment_1524,unique_treatment_1543,unique_treatment_1581,unique_treatment_1674,unique_control_1524,unique_control_1543,unique_control_1581,unique_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,unique_treatment_1840,unique_control_1840,avg_val_1840
West Budleigh,34859,8.0,,,,1.0,,,,8.0,,,,Pulfold,,,,0.0,,,,0.0,,,,8.0,,,,,,,,,,
West Budleigh,34860,18.0,,,,3.0,,,,12.0,,,,Doune,,,,0.0,,,,0.0,,,,6.0,,,,,,,,,,
West Budleigh,34861,16.0,,,,1.0,,,,16.0,,,,Brounston,,,,0.0,,,,0.0,,,,16.0,,,,,,,,,,
West Budleigh,34862,3.0,,,,1.0,,,,3.0,,,,Prylle,,,,0.0,,,,0.0,,,,3.0,,,,,,,,,,
West Budleigh,34863,20.0,,,,1.0,,,,20.0,,,,Wyde,,,,0.0,,,,0.0,,,,20.0,,,,,,,,,,
West Budleigh,34864,1.0,,,,1.0,,,,1.0,,,,Culme,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,34865,3.23,,,,2.0,,,,2.0,,,,Kymplond,,,,0.0,,,,0.0,,,,1.615,,,,,,,,,,
West Budleigh,34866,4.0,,,,3.0,,,,2.0,,,,Wilston,,,,0.0,,,,0.0,,,,1.3333333333333333,,,,,,,,,,
West Budleigh,34867,1.0,,,,1.0,,,,1.0,,,,Keyman,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,34868,2.0,,,,2.0,,,,1.0,,,,Mylward,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,34869,1.0,,,,1.0,,,,1.0,,,,Glanfylde,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,34870,1.0,,,,1.0,,,,1.0,,,,Herle,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,34871,30.0,,,,1.0,,,,30.0,,,,Snytale,,,,0.0,,,,0.0,,,,30.0,,,,,,,,,,
West Budleigh,34872,1.0,,,,1.0,,,,1.0,,,,Ayleston,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,34873,50.0,,,,1.0,,,,50.0,,,,Keyn,,,,0.0,,,,0.0,,,,50.0,,,,,,,,,,
West Budleigh,34874,3.0,,,,1.0,,,,3.0,,,,Strangge,,,,0.0,,,,0.0,,,,3.0,,,,,,,,,,
West Budleigh,34875,7.0,,,,2.0,,,,5.0,,,,Basse,,,,0.0,,,,0.0,,,,3.5,,,,,,,,,,
West Budleigh,34876,28.0,,,,3.0,,,,20.0,,,,Northecote,,,,0.0,,,,0.0,,,,9.333333333333334,,,,,,,,,,
West Budleigh,34877,64.0,,,,3.0,,,,40.0,,,,Hurde,,,,0.0,,,,0.0,,,,21.333333333333332,,,,,,,,,,
West Budleigh,34878,9.0,,,,1.0,,,,9.0,,,,Somerhay,,,,0.0,,,,0.0,,,,9.0,,,,,,,,,,
West Budleigh,34879,17.0,,,,2.0,,,,11.0,,,,Hurde,,,,0.0,,,,0.0,,,,8.5,,,,,,,,,,
West Budleigh,34880,1.23,,,,1.0,,,,1.23,,,,Warlegh,,,,0.0,,,,0.0,,,,1.23,,,,,,,,,,
West Budleigh,34881,12.0,,,,3.0,,,,7.0,,,,Hurde,,,,0.0,,,,0.0,,,,4.0,,,,,,,,,,
West Budleigh,34882,3.0,,,,2.0,,,,2.0,,,,Oxenbeare,,,,0.0,,,,0.0,,,,1.5,,,,,,,,,,
West Budleigh,34883,2.0,,,,2.0,,,,1.0,,,,Varlegh,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,34884,10.23,,,,2.0,,,,9.0,,,,Varlegh,,,,0.0,,,,0.0,,,,5.115,,,,,,,,,,
West Budleigh,34885,1.0,,,,1.0,,,,1.0,,,,Chapelman,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,34886,6.0,,,,1.0,,,,6.0,,,,Lyell,,,,0.0,,,,0.0,,,,6.0,,,,,,,,,,
West Budleigh,34887,2.0,,,,2.0,,,,1.0,,,,Bornard,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,34888,8.0,,,,1.0,,,,8.0,,,,Tryppe,,,,0.0,,,,0.0,,,,8.0,,,,,,,,,,
West Budleigh,34889,47.66666666666667,,,,6.0,,,,20.0,,,,Bokyngham,,,,0.0,,,,0.0,,,,7.9444444444444455,,,,,,,,,,
West Budleigh,34890,1.0,,,,1.0,,,,1.0,,,,Granntlond,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,34891,31.0,,,,2.0,,,,30.0,,,,Hokeway,,,,0.0,,,,0.0,,,,15.5,,,,,,,,,,
West Budleigh,34892,12.0,,,,3.0,,,,8.0,,,,Bea,,,,0.0,,,,0.0,,,,4.0,,,,,,,,,,
West Budleigh,34893,11.0,,,,2.0,,,,6.0,,,,Hurde,,,,0.0,,,,0.0,,,,5.5,,,,,,,,,,
