hundred,combined_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,combined_treatment_1524,combined_treatment_1543,combined_treatment_1581,combined_treatment_1674,combined_control_1524,combined_control_1543,combined_control_1581,combined_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,combined_treatment_1840,combined_control_1840,avg_val_1840
South Molton,6902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5533.0,17.0,724.0,Mildon,0.0,0.0,325.47058823529414
South Molton,6923,,,7.0,1.0,,,1.0,1.0,,,7.0,1.0,,,Miller,Miller,,,0.0,0.0,,,0.0,0.0,,,7.0,1.0,87.0,2.0,72.0,Miller,0.0,0.0,43.5
South Molton,6958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,22.0,Mock,0.0,0.0,22.0
South Molton,6968,,,,3.0,,,,2.0,,,,2.0,,,,Modd,,,,0.0,,,,0.0,,,,1.5,,,,,,,
South Molton,6971,1.0,2.0,,,1.0,1.0,,,1.0,2.0,,,Mogford,Mogford,,,0.0,0.0,,,0.0,0.0,,,1.0,2.0,,,,,,,,,
South Molton,6984,,,,1.0,,,,1.0,,,,1.0,,,,Money,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,7009,1.0,,,,1.0,,,,1.0,,,,Morgan,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
South Molton,7013,6.0,10.0,5.0,1.0,3.0,1.0,1.0,1.0,3.0,10.0,5.0,1.0,Moreman,Moreman,Moreman,Moreman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,1.0,,,,,,,
South Molton,7017,18.0,20.0,28.0,22.0,7.0,8.0,6.0,8.0,6.0,5.0,6.0,6.0,More,More,More,Moore,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.5714285714285716,2.5,4.666666666666667,2.75,27475.0,79.0,1578.0,Moore,0.0,1.0,347.7848101265823
South Molton,7039,18.0,60.0,10.0,3.0,3.0,4.0,3.0,3.0,10.0,30.0,6.0,1.0,Moll,Moll,Mill,Mules,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,3.3333333333333335,1.0,38807.0,95.0,1938.0,Mill,0.0,0.0,408.4947368421053
