surname_id,surname,metaphone,soundex,mp_se,u_id
,Cardiff,KRTF,C06301,KRTF C06301,12244.0
,Brackney,PRKN,B60250,PRKN B60250,12245.0
,Retcher,RXR,R03206,RXR R03206,12246.0
,Moist,MST,M023,MST M023,12247.0
,Valland,FLNT,V04053,FLNT V04053,12248.0
,Southern,S0RN,S03065,S0RN S03065,12249.0
,Lovern,LFRN,L01065,LFRN L01065,12250.0
,Viant,FNT,V053,FNT V053,12251.0
,Fudge,FJ,F0320,FJ F0320,12252.0
,Milham,MLM,M0405,MLM M0405,12253.0
,Broomham,PRMM,B60505,PRMM B60505,12254.0
,OBrien,APRN,O1605,APRN O1605,12255.0
,Ashwood,AXT,A203,AXT A203,12256.0
,Frisk,FRSK,F602,FRSK F602,12257.0
,Bullerd,PLRT,B04063,PLRT B04063,12258.0
,Foulstone,FLSTN,F0423050,FLSTN F0423050,12259.0
,Bremer,PRMR,B60506,PRMR B60506,12260.0
,Ponley,PNL,P0540,PNL P0540,12261.0
,Gilmore,KLMR,G045060,KLMR G045060,12262.0
,Leathlin,L0LN,L030405,L0LN L030405,12263.0
,Wingeatt,ANJT,W05203,ANJT W05203,12264.0
,Roux,R,R020,R R020,12265.0
,Clift,KLFT,C4013,KLFT C4013,12266.0
,Trebelle,TRPL,T601040,TRPL T601040,12267.0
,Shankem,XNKM,S05205,XNKM S05205,12268.0
,Surfield,SRFLT,S061043,SRFLT S061043,12269.0
,Chinnick,XNK,C0502,XNK C0502,12270.0
,Amelia,AML,A5040,AML A5040,12271.0
,Fast,FST,F023,FST F023,12272.0
,Huckelbridge,HKLPRJ,H0204160320,HKLPRJ H0204160320,12273.0
,Millaton,MLTN,M040305,MLTN M040305,12274.0
,Tindall,TNTL,T05304,TNTL T05304,12275.0
,Dorville,TRFL,D061040,TRFL D061040,12276.0
,Dincombe,TNKMP,D0520510,TNKMP D0520510,12277.0
,Ruins,RNS,R052,RNS R052,12278.0
,Bynon,PNN,B0505,PNN B0505,12279.0
,Gapper,KPR,G0106,KPR G0106,12280.0
,Stedham,STTM,S30305,STTM S30305,12281.0
,Wareham,ARHM,W0605,ARHM W0605,12282.0
,Wimborne,AMPRN,W0510650,AMPRN W0510650,12283.0
,Barnsley,PRNSL,B065240,PRNSL B065240,12284.0
,Arnott,ARNT,A6503,ARNT A6503,12285.0
,DCL,TKL,D240,TKL D240,12286.0
,Brooming,PRMNK,B605052,PRMNK B605052,12287.0
,Laundry,LNTR,L05360,LNTR L05360,12288.0
,Proctor,PRKTR,P602306,PRKTR P602306,12289.0
,Taperal,TPRL,T010604,TPRL T010604,12290.0
,Erne,ARN,E650,ARN E650,12291.0
,Seworthy,SR0,S0630,SR0 S0630,12292.0
,Vaggis,FJS,V0202,FJS V0202,12293.0
,Eyers,ARS,E062,ARS E062,12294.0
,Grar,KRR,G606,KRR G606,12295.0
,Buckridge,PKRJ,B0260320,PKRJ B0260320,12296.0
,Bundock,PNTK,B05302,PNTK B05302,12297.0
,Column,KLMN,C0405,KLMN C0405,12298.0
,Braven,PRFN,B60105,PRFN B60105,12299.0
,Boatfield,PTFLT,B031043,PTFLT B031043,12300.0
,Cochett,KXT,C0203,KXT C0203,12301.0
,Pollock,PLK,P0402,PLK P0402,12302.0
,Stanson,STNSN,S305205,STNSN S305205,12303.0
,Hatesly,HTSL,H030240,HTSL H030240,12304.0
,Forrester,FRSTR,F0602306,FRSTR F0602306,12305.0
,Hemberry,HMPR,H051060,HMPR H051060,12306.0
,Illman,ALMN,I4505,ALMN I4505,12307.0
